0.680000000000000E+03 0.431307591390493E-01
0.680010000000000E+03 0.432584393402848E-01
0.680020000000000E+03 0.433333549930686E-01
0.680030000000000E+03 0.433414117739877E-01
0.680040000000000E+03 0.432816556602346E-01
0.680050000000000E+03 0.431628606528302E-01
0.680060000000000E+03 0.430049425457414E-01
0.680070000000000E+03 0.428339431718826E-01
0.680080000000000E+03 0.426760504152906E-01
0.680090000000000E+03 0.425515761300960E-01
0.680100000000000E+03 0.424704598816530E-01
0.680110000000000E+03 0.424305557497639E-01
0.680120000000000E+03 0.424192596310434E-01
0.680130000000000E+03 0.424184376008080E-01
0.680140000000000E+03 0.424111910968130E-01
0.680150000000000E+03 0.423889815140556E-01
0.680160000000000E+03 0.423570421841960E-01
0.680170000000000E+03 0.423365444566135E-01
0.680180000000000E+03 0.423621812073618E-01
0.680190000000000E+03 0.424758349232157E-01
0.680200000000000E+03 0.427170757940475E-01
0.680210000000000E+03 0.431126742514380E-01
0.680220000000000E+03 0.436674321539169E-01
0.680230000000000E+03 0.443589169958340E-01
0.680240000000000E+03 0.451366427540029E-01
0.680250000000000E+03 0.459312872415316E-01
0.680260000000000E+03 0.466591485629751E-01
0.680270000000000E+03 0.472396073612698E-01
0.680280000000000E+03 0.476077700023650E-01
0.680290000000000E+03 0.477256190038028E-01
0.680300000000000E+03 0.475878132784535E-01
0.680310000000000E+03 0.472220671024206E-01
0.680320000000000E+03 0.466831014178975E-01
0.680330000000000E+03 0.460421163963056E-01
0.680340000000000E+03 0.453742328735866E-01
0.680350000000000E+03 0.447465663232268E-01
0.680360000000000E+03 0.442094820501477E-01
0.680370000000000E+03 0.437926484046209E-01
0.680380000000000E+03 0.435063437303884E-01
0.680390000000000E+03 0.433469820843876E-01
0.680400000000000E+03 0.433050236400034E-01
0.680410000000000E+03 0.433725174157369E-01
0.680420000000000E+03 0.435492542844783E-01
0.680430000000000E+03 0.438426178512487E-01
0.680440000000000E+03 0.442653467538426E-01
0.680450000000000E+03 0.448297598425879E-01
0.680460000000000E+03 0.455332507154544E-01
